,Unnamed: 0,placeID,name,vicinity,lat,lng,types,place_type_1,place_type_2
18047,18047,ChIJ3To45LnSJIgRVf25tIncRBI,Detroit Thermal LLC,"42 West Willis Street, Detroit",42.351319200000006,-83.06193739999998,"['point_of_interest', 'establishment']",[,'
18051,18051,ChIJfY8A8rnSJIgRKYzGqTHIYNo,Bikram Yoga Midtown Detroit,"55 West Canfield Street #1, Detroit",42.3519854,-83.06233420000001,"['gym', 'health', 'point_of_interest', 'establishment']",[,'
18057,18057,ChIJqW_F3LnSJIgRVfIw5dxe6U0,The Nature Conservancy,"4219 Woodward Avenue #302, Detroit",42.351583700000006,-83.061425,"['point_of_interest', 'establishment']",[,'
18062,18062,ChIJpx12w7nSJIgR7KzWRwzTqfE,Hacker Fellows,"4219 Woodward Avenue #300, Detroit",42.35177399999999,-83.06136599999998,"['point_of_interest', 'establishment']",[,'
18064,18064,ChIJJau6CLnSJIgRCEVudU_RXbE,Museum of Contemporary Art Detroit,"4454 Woodward Avenue, Detroit",42.3536954,-83.06156120000001,"['museum', 'point_of_interest', 'establishment']",[,'
18068,18068,ChIJf__SPrnSJIgRu36VRKFOdRs,Seva Detroit,"66 East Forest Avenue, Detroit",42.35497520000001,-83.06155840000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",[,'
18070,18070,ChIJmQb-b7nSJIgRwsSnzfjsfZY,Rite Aid Pharmacy,"4612 Woodward Avenue, Detroit",42.35403609999999,-83.0620613,"['pharmacy', 'convenience_store', 'store', 'health', 'food', 'point_of_interest', 'establishment']",[,'
18075,18075,ChIJpVTr_rjSJIgRNxSg1Hb018U,The Black Dress co,"87 East Canfield Street, Detroit",42.353623999999996,-83.0599933,"['clothing_store', 'store', 'point_of_interest', 'establishment']",[,'
18083,18083,ChIJX3psd7nSJIgR8QfxCsQTXEs,Garfield Lofts,"4600 Woodward Avenue, Detroit",42.3540199,-83.0620752,"['point_of_interest', 'establishment']",[,'
18086,18086,ChIJKZ7aELnSJIgRxwOrLDpqooQ,Socra Tea Detroit,"71 Garfield Street Suite 50, Detroit",42.35450120000001,-83.0612917,"['cafe', 'food', 'point_of_interest', 'establishment']",[,'
18087,18087,ChIJA_ZF7S0tO4gR4TcBzKyJTgc,G R N'Namdi Gallery,"52 East Forest Avenue, Detroit",42.355101700000006,-83.06185649999998,"['art_gallery', 'book_store', 'store', 'point_of_interest', 'establishment']",[,'
18094,18094,ChIJKSPnO7nSJIgR8P-THyxrd0w,Zachery & Associates Inc,"76 East Forest Avenue, Detroit",42.35505300000001,-83.0612809,"['point_of_interest', 'establishment']",[,'
